fin_year,month,state_code,state_name,district_code,district_name,approved_labour_budget,avg_wage_rate_per_day_per_person,avg_days_of_employment_per_household,differently_abled_persons_worked,material_and_skilled_wages,num_completed_works,num_gps_with_nil_exp,num_ongoing_works,persondays_of_central_liability_so_far,sc_persondays,sc_workers_against_active_workers,st_persondays,st_workers_against_active_workers,total_admin_expenditure,total_expenditure,total_households_worked,total_individuals_worked,total_active_job_cards,total_active_workers,total_hhs_completed_100_days,total_job_cards_issued,total_workers,total_works_takenup,wages,women_persondays,percent_category_b_works,percent_expenditure_agri_allied,percent_nrm_expenditure,percent_payments_within_15_days,remarks,payload
2020-2021,Dec,9,Uttar Pradesh,7,Auraiya,1815058,227.28,39,375,1120.07,10201,216,1325,1996450,39815,3268,1217,257,148.99,2654.89,72099,58145,85782,174083,66,131608,124258,11473,825.88,83213,64.61,87.28,60.52,91.95,NA,{}
2020-2021,Dec,9,Uttar Pradesh,8,Ayodhya,1969135,224.95,31,21,1076.67,12920,354,11706,1510652,27061,2983,878,145,167.57,1540.42,16604,132369,40697,188502,445,28669,70077,3617,1845.81,99171,78.16,96.73,20.73,97.18,NA,{}
2020-2021,Dec,9,Uttar Pradesh,9,Azamgarh,721309,200.81,30,124,1769.93,8546,93,3007,861860,34613,4932,559,74,125.04,990.17,39798,78045,19868,127905,397,45696,128310,12063,1950.3,122052,32.16,81.73,3.71,92.82,NA,{}
2020-2021,Dec,9,Uttar Pradesh,10,Baghpat,433557,217.73,50,10,1696.63,7080,277,17115,116866,21273,4006,1258,69,446.47,1684.15,24762,100270,145901,13659,755,31484,175826,4253,703.85,196909,74.54,19.18,94.48,93.16,NA,{}
2020-2021,Dec,9,Uttar Pradesh,11,Bahraich,712743,240.13,36,500,875.87,4654,429,15236,2480909,45441,2696,1423,460,166.75,788.84,54248,54236,69766,49950,218,113560,152403,6015,1103.71,32106,42.46,18.55,63.61,92.82,NA,{}
2020-2021,Dec,9,Uttar Pradesh,12,Ballia,2069873,249.93,41,365,142.66,10774,498,8836,90617,2558,2283,1471,156,317.55,1525.21,13395,127991,132283,72946,97,122578,188630,19993,1176.82,38147,57.25,81.21,23.45,91.89,NA,{}
2020-2021,Dec,9,Uttar Pradesh,13,Balrampur,843092,204.75,32,321,773.66,9448,412,13051,526574,11554,237,1780,45,373.42,2401.66,62199,122199,124201,36704,776,125796,26095,9848,853.92,112913,45.44,68.17,0.58,95.66,NA,{}
2020-2021,Dec,9,Uttar Pradesh,14,Banda,939001,247.84,47,110,1881.19,4963,409,3347,1533092,34883,3701,1607,283,105.75,2113.93,26372,89250,96504,34329,256,145823,127180,14372,668.06,80596,52.35,29.09,44.28,94.33,NA,{}
2020-2021,Dec,9,Uttar Pradesh,15,Barabanki,1097490,213.73,42,526,508.56,2408,125,15543,1924723,46935,2207,1891,483,64.54,1181.18,24758,46049,26079,62180,942,146145,126615,3433,913.11,12515,26.76,25.79,4.46,98.55,NA,{}
2020-2021,Dec,9,Uttar Pradesh,16,Bareilly,1727441,217.14,38,551,1774.86,12027,266,12995,428439,34305,188,1200,258,197.14,1647.64,57642,18123,43956,91467,26,132993,49964,1356,935.12,156625,61.14,41.63,81.78,92.88,NA,{}
2020-2021,Dec,9,Uttar Pradesh,17,Basti,1767890,212.52,49,395,1601.93,2595,296,11541,1412713,24941,2340,1467,456,438.78,1762.84,18153,134532,100896,141089,248,70946,81216,12775,1362.51,197449,89.32,20.03,35.6,92.31,NA,{}
2020-2021,Dec,9,Uttar Pradesh,18,Bhadohi,768190,207.14,30,484,605.97,10196,403,6918,507158,3684,4802,804,273,359.54,871.59,56202,39071,94076,120487,157,146272,113339,15079,625.5,45461,70.35,81.48,77.83,96.8,NA,{}
2020-2021,Dec,9,Uttar Pradesh,19,Bijnor,1363740,221.68,40,115,260.3,9662,271,10948,1210979,7140,2974,1487,133,138.67,1801.53,59414,142492,52150,39174,662,119642,67084,9141,1317.59,159717,70.01,27.62,12.57,95.62,NA,{}
2020-2021,Dec,9,Uttar Pradesh,20,Budaun,1014870,247.11,33,233,1895.13,11329,115,17783,1750405,15407,1159,1382,136,202.88,1900.87,82406,52771,25946,26946,84,195368,154942,7711,1241.1,120015,42.02,36.88,13.21,93.48,NA,{}
2020-2021,Dec,9,Uttar Pradesh,21,Bulandshahr,2362886,200.26,36,221,1776.59,10036,81,9143,373044,3868,1566,833,189,441.0,1268.63,62990,74929,116154,29916,621,156720,57577,5840,1740.64,23143,75.14,68.76,31.58,90.5,NA,{}
2020-2021,Dec,9,Uttar Pradesh,22,Chandauli,890593,213.75,50,268,1172.87,1042,240,8909,1041789,18909,4039,684,2,252.67,2544.74,79170,121708,90322,133554,336,43544,161849,7434,1441.75,68921,93.24,61.69,19.6,98.19,NA,{}
2020-2021,Dec,9,Uttar Pradesh,23,Chitrakoot,1023564,206.99,43,245,1526.04,10501,290,10178,2432793,38486,4841,1435,312,453.36,2676.84,81510,102275,57338,107616,705,94388,171997,10446,500.14,152893,89.8,42.0,67.1,91.87,NA,{}
2020-2021,Dec,9,Uttar Pradesh,24,Deoria,2446181,231.32,30,73,193.81,2874,38,12340,958185,21619,2803,1360,64,481.71,2853.51,31573,55638,142801,87894,119,67876,36270,11147,1192.95,185019,70.76,24.78,59.47,99.21,NA,{}
2020-2021,Dec,9,Uttar Pradesh,25,Etah,1186336,209.45,50,232,187.8,11469,245,10010,1195523,47002,4453,1334,336,130.06,2659.16,98553,16520,110241,86655,315,108951,187819,16538,956.11,14727,19.06,56.34,14.39,96.46,NA,{}
2020-2021,Dec,9,Uttar Pradesh,26,Etawah,1636500,234.22,40,377,904.7,507,297,19527,2297452,31229,4505,1770,500,366.37,2911.44,78702,80066,27818,94813,331,28667,25099,11978,1411.99,189501,88.64,78.05,76.92,91.76,NA,{}
2020-2021,Dec,9,Uttar Pradesh,27,Farrukhabad,610365,223.94,48,140,1837.74,1281,431,6671,1941257,6193,2267,208,288,257.29,1772.23,57122,62610,10009,78992,953,141655,79246,6957,1228.44,125143,40.77,41.87,75.72,96.66,NA,{}
2020-2021,Dec,9,Uttar Pradesh,28,Fatehpur,688158,247.87,31,492,556.01,3209,62,17043,1865506,10191,3477,947,51,163.15,2411.51,64869,6390,133328,141692,77,65724,36850,3613,1810.52,150571,67.49,37.05,38.02,93.07,NA,{}
2020-2021,Dec,9,Uttar Pradesh,29,Firozabad,401714,240.01,38,582,1393.35,4531,324,11326,1730931,24221,4249,100,280,400.28,2159.72,88546,46336,34195,122673,920,39497,117271,12831,1522.38,117555,63.02,65.2,6.76,97.74,NA,{}
2020-2021,Dec,9,Uttar Pradesh,30,Gautam Buddha Nagar,1932370,237.02,41,223,733.2,9543,452,12388,184064,36313,2139,1617,339,110.11,998.86,17593,8373,30312,84912,964,70874,128222,19425,959.82,8098,63.82,97.75,49.53,91.63,NA,{}
2020-2021,Dec,9,Uttar Pradesh,31,Ghaziabad,1345549,249.73,38,457,656.7,13883,225,15065,2215111,36007,271,122,318,106.37,2653.88,21477,113302,97925,63127,482,134964,18957,12207,1950.95,197271,91.07,4.2,8.15,92.06,NA,{}
2020-2021,Dec,9,Uttar Pradesh,32,Ghazipur,2467126,239.99,41,45,1307.52,3216,230,6083,1779046,20949,4526,649,286,463.21,2085.26,84405,84039,13515,133968,211,185959,54825,13897,1510.24,68469,26.21,49.32,9.99,97.99,NA,{}
2020-2021,Dec,9,Uttar Pradesh,33,Gonda,610512,237.34,49,294,637.94,12079,438,17903,2025634,30012,2104,1810,16,227.74,833.67,96046,53119,56182,60278,21,195416,11665,15484,1014.1,38128,15.02,1.63,53.47,91.29,NA,{}
2020-2021,Dec,9,Uttar Pradesh,34,Gorakhpur,2129486,229.74,41,79,1362.65,5440,5,18765,823429,3326,563,1718,314,159.61,809.53,11491,9487,118254,64732,794,101031,125367,18608,1745.24,86676,67.4,99.67,46.22,96.16,NA,{}
2020-2021,Dec,9,Uttar Pradesh,35,Hamirpur,1184543,209.55,50,542,672.65,6525,52,18681,1231984,24384,4663,1212,429,484.56,1437.5,6702,140981,108239,161665,786,43832,130707,3435,771.86,118274,31.49,41.82,16.15,95.46,NA,{}
2020-2021,Dec,9,Uttar Pradesh,36,Hapur,1585928,220.95,42,436,145.29,11779,36,11155,343678,20608,1910,97,19,434.08,577.21,93612,135730,75642,153101,540,189398,57510,16861,1709.88,198454,29.79,19.5,42.22,94.94,NA,{}
2020-2021,Dec,9,Uttar Pradesh,37,Hardoi,1158867,231.88,40,143,1425.57,6598,175,18196,841851,43895,3480,1184,293,124.08,2065.42,14799,35220,17269,53353,179,62136,55801,12148,1477.0,147770,95.88,44.05,3.36,90.47,NA,{}
2020-2021,Dec,9,Uttar Pradesh,38,Hathras,1560434,219.06,33,454,1329.11,9108,417,1055,1119321,22739,681,125,58,497.43,1886.67,69562,83742,14519,143957,18,37617,117897,13581,1146.1,131951,28.56,59.27,64.15,91.39,NA,{}
2020-2021,Dec,9,Uttar Pradesh,39,Jalaun,1310820,233.77,42,68,342.29,9027,174,3677,1324753,46081,2389,41,35,189.06,648.19,79354,42660,48388,18975,19,117423,57063,2637,926.15,10960,55.07,17.11,71.53,96.59,NA,{}
2020-2021,Dec,9,Uttar Pradesh,40,Jaunpur,1507671,234.77,48,262,1285.36,8133,188,17454,860532,44453,3152,1443,492,212.52,933.34,12497,17491,23284,85615,602,34973,118478,8387,1206.47,64504,4.75,55.25,50.7,92.23,NA,{}
2020-2021,Dec,9,Uttar Pradesh,41,Jhansi,2424018,206.31,32,347,507.69,9514,475,6359,1791490,17023,738,1025,467,281.68,1624.58,62161,144235,35805,26959,93,149179,189118,1562,1097.31,193510,45.1,44.28,31.6,99.33,NA,{}
2020-2021,Dec,9,Uttar Pradesh,42,Kannauj,1976629,201.83,49,353,1291.17,14528,297,2619,900792,21899,2657,1056,332,490.69,2640.36,46632,56012,33012,69170,910,189322,52089,14941,870.19,125908,78.87,41.97,36.64,92.2,NA,{}
2020-2021,Dec,9,Uttar Pradesh,43,Kanpur Dehat,786082,228.62,46,25,153.98,1421,396,10772,1155552,3282,1653,811,364,98.52,503.65,61075,81810,18513,141811,84,51691,88396,5536,1594.92,192191,90.07,69.56,23.69,92.01,NA,{}
2020-2021,Dec,9,Uttar Pradesh,44,Kanpur Nagar,916261,223.49,48,530,577.29,1750,306,7268,1154803,13577,363,1261,475,78.09,1351.77,66770,142740,93618,150128,408,66201,15064,15864,780.92,136927,47.79,73.74,14.5,90.76,NA,{}
2020-2021,Dec,9,Uttar Pradesh,45,Kasganj,2395439,232.59,31,104,981.47,8161,371,15180,2153740,2631,2987,203,371,298.54,2365.24,26733,18643,93819,46878,638,85243,132016,19606,1156.2,198749,57.12,70.32,4.29,93.19,NA,{}
2020-2021,Dec,9,Uttar Pradesh,46,Kaushambi,2321581,225.27,33,127,1630.7,2586,308,9901,145618,43107,1521,1815,187,315.46,2562.64,56138,66625,105759,26822,80,20685,195238,14387,1587.09,172174,61.91,42.19,78.63,98.02,NA,{}
2020-2021,Dec,9,Uttar Pradesh,47,Kushinagar,1759175,207.94,44,422,685.13,1270,210,11432,608083,24890,2567,572,422,341.49,1649.29,41075,13251,68686,23653,585,129832,127289,15686,962.32,79102,76.0,77.84,41.67,92.66,NA,{}
2020-2021,Dec,9,Uttar Pradesh,48,Lakhimpur Kheri,893488,245.59,38,527,609.42,7144,353,15326,2034084,32281,4574,1634,38,153.95,2934.83,50204,121072,97005,192382,605,53015,76241,11282,1177.23,55993,61.04,91.26,51.53,92.15,NA,{}
2020-2021,Dec,9,Uttar Pradesh,49,Lalitpur,1225017,241.57,32,127,124.39,1114,93,7898,100782,7994,2745,1214,343,437.38,2344.15,8889,95421,61683,122600,258,126875,94559,15676,1803.18,3029,16.79,1.78,26.46,96.1,NA,{}
2020-2021,Dec,9,Uttar Pradesh,50,Lucknow,1562124,213.8,35,533,1483.82,5761,438,13606,1613979,11303,3514,963,248,417.27,1543.04,5303,52644,30188,198708,614,87712,15633,5436,832.32,155913,87.01,13.01,24.17,92.21,NA,{}
2020-2021,Dec,9,Uttar Pradesh,51,Maharajganj,1653289,224.65,36,564,784.12,4624,291,3737,1813445,2037,4172,790,124,465.09,2389.45,86236,55379,123990,59864,967,87926,28072,10799,1176.53,84502,71.66,83.73,28.25,96.11,NA,{}
2020-2021,Dec,9,Uttar Pradesh,52,Mahoba,1396556,223.03,30,102,75.08,2394,314,8997,2302853,18061,4514,1524,273,331.07,1884.51,5468,24796,104172,64513,237,180861,89835,5960,1276.94,35645,84.62,34.76,50.04,94.72,NA,{}
2020-2021,Dec,9,Uttar Pradesh,53,Mainpuri,1609445,237.3,50,477,1548.29,9605,217,11506,2050230,42231,3399,1852,95,282.62,2850.76,72142,129753,109380,97598,553,36123,171946,4363,704.88,73409,46.03,73.76,65.68,97.13,NA,{}
2020-2021,Dec,9,Uttar Pradesh,54,Mathura,590235,236.71,50,87,1494.27,1162,183,11065,1405334,48081,3833,671,210,195.23,1793.82,93131,70782,139934,54480,943,10132,50477,3893,1547.45,94835,54.27,70.06,4.52,98.28,NA,{}
2020-2021,Dec,9,Uttar Pradesh,55,Mau,1492765,220.23,44,563,222.78,2189,130,1197,2293771,31000,2084,337,58,475.79,1102.51,14408,70078,114689,166835,433,50960,27739,19752,1132.33,51992,31.53,70.73,49.44,97.33,NA,{}
2020-2021,Dec,9,Uttar Pradesh,56,Meerut,1234524,215.3,47,302,1712.22,9467,252,17424,696003,48535,4391,1728,20,329.5,2320.47,85068,54081,136582,74288,907,104052,10912,18151,1498.63,13758,88.42,57.36,84.74,94.73,NA,{}
2020-2021,Dec,9,Uttar Pradesh,57,Mirzapur,1523259,203.14,34,408,813.83,11679,242,18824,1151058,14923,101,1860,56,349.91,2607.47,6046,120271,119090,110413,266,31662,44846,701,513.58,100459,29.35,64.32,53.63,91.79,NA,{}
2020-2021,Dec,9,Uttar Pradesh,58,Moradabad,1165085,245.72,50,186,1987.97,5764,439,19843,1198103,30808,4799,1295,439,299.87,719.86,29997,35618,52293,190760,11,77967,83046,14637,1799.83,106822,36.05,33.18,98.59,92.22,NA,{}
2020-2021,Dec,9,Uttar Pradesh,59,Muzaffarnagar,1559264,214.29,39,500,584.19,9005,289,15042,576047,46225,3944,285,323,260.75,2869.13,16145,6693,10356,95583,947,153208,59473,5741,1511.24,176435,26.14,5.22,27.21,97.66,NA,{}
2020-2021,Dec,9,Uttar Pradesh,60,Pilibhit,960327,247.18,33,375,1352.97,11529,139,8010,938565,46993,1725,1089,195,125.94,1491.83,75499,106323,112605,199720,226,121934,148824,9060,521.18,161630,27.07,77.17,90.38,93.33,NA,{}
2020-2021,Dec,9,Uttar Pradesh,61,Pratapgarh,431726,208.11,32,249,1255.3,14742,389,17776,890902,31323,1218,206,253,93.91,1901.34,46754,137198,40101,172524,887,132813,157626,10165,1470.03,79985,81.97,92.04,72.32,99.24,NA,{}
2020-2021,Dec,9,Uttar Pradesh,62,Raebareli,2473489,242.49,41,395,1553.85,3263,460,19563,447030,9720,4118,506,451,422.16,1543.72,1734,147716,121224,66252,788,144377,191321,13138,1380.75,39787,62.46,41.03,84.57,93.44,NA,{}
2020-2021,Dec,9,Uttar Pradesh,63,Rampur,2376736,208.9,47,395,592.48,7202,230,12487,59120,40825,257,1337,329,186.38,2772.8,66884,120989,54476,192192,391,118683,146750,1168,1664.33,138993,80.5,48.95,69.51,99.78,NA,{}
2020-2021,Dec,9,Uttar Pradesh,64,Saharanpur,570493,206.48,41,482,1985.29,4959,16,10076,724230,29400,3390,108,402,265.61,1881.43,68636,144191,92392,37827,341,33677,156500,8497,1037.8,197703,57.26,89.53,21.67,94.76,NA,{}
2020-2021,Dec,9,Uttar Pradesh,65,Sambhal,1947491,206.16,46,258,1752.9,2503,426,8107,1822060,10775,2131,797,26,312.05,2013.31,19894,134011,105191,45725,432,196844,47095,3819,606.06,77185,17.21,11.19,77.13,98.0,NA,{}
2020-2021,Dec,9,Uttar Pradesh,66,Sant Kabir Nagar,668093,201.8,30,130,903.53,13251,98,16169,577131,29685,1306,1237,358,90.75,1585.9,74650,89700,136355,165668,505,133931,83906,3147,588.04,136101,57.48,19.93,95.85,91.1,NA,{}
2020-2021,Dec,9,Uttar Pradesh,67,Shahjahanpur,1229263,244.75,46,599,1137.66,9568,264,2722,515102,37080,762,1488,391,73.41,1656.87,98662,90578,94591,101241,828,120348,101118,1855,805.27,164168,99.57,8.39,58.92,99.92,NA,{}
2020-2021,Dec,9,Uttar Pradesh,68,Shamli,1999427,239.61,44,134,130.8,2529,5,13701,1779059,38991,2801,837,450,407.95,826.52,78443,83509,149896,144173,444,162798,180701,8704,1087.15,82915,8.12,86.5,68.41,97.44,NA,{}
2020-2021,Dec,9,Uttar Pradesh,69,Shravasti,844073,249.09,50,256,764.38,6846,415,1663,849919,25091,1465,1807,214,477.39,894.21,52265,145610,111872,11502,581,85176,66315,15301,520.55,182719,68.43,38.02,4.0,92.91,NA,{}
2020-2021,Dec,9,Uttar Pradesh,70,Siddharthnagar,797511,228.16,49,508,667.88,1085,263,10100,771928,25397,223,1303,397,381.33,1682.98,18894,66414,147159,142646,881,10578,124458,1960,657.8,161531,52.51,64.39,87.47,91.42,NA,{}
2020-2021,Dec,9,Uttar Pradesh,71,Sitapur,1673863,237.23,39,6,1604.5,7997,140,17020,1673165,42223,2718,95,282,496.23,1155.47,26652,69597,57092,50545,656,69723,157837,15659,1765.58,154092,83.25,28.19,53.55,97.68,NA,{}
2020-2021,Dec,9,Uttar Pradesh,72,Sonbhadra,1140959,238.92,42,501,766.31,4620,322,18895,2443248,6692,2542,1071,285,230.54,654.86,21649,80700,21417,175031,655,116645,153983,10660,967.61,122759,46.22,38.63,18.5,92.47,NA,{}
2020-2021,Dec,9,Uttar Pradesh,73,Sultanpur,1437502,240.06,45,180,377.19,6038,160,12575,1918369,19896,4123,1180,397,486.26,1263.61,34020,136534,122399,61495,591,53465,12717,18740,667.38,2195,82.02,46.62,54.99,94.63,NA,{}
2020-2021,Dec,9,Uttar Pradesh,74,Unnao,2284076,217.39,32,210,199.19,3059,433,13562,1287215,34888,2601,674,382,302.11,2219.05,50135,32373,130100,21289,751,154856,41336,2049,561.25,185315,25.86,34.08,33.27,91.68,NA,{}
2020-2021,Dec,9,Uttar Pradesh,75,Varanasi,2130619,220.31,47,292,1505.07,8223,147,5157,2492117,48781,1906,1899,94,389.49,2826.83,29331,140274,132741,116552,675,196825,33604,12956,1300.89,177850,16.5,97.79,15.14,91.24,NA,{}
2021-2022,Jan,9,Uttar Pradesh,1,Agra,1415769,230.97,38,242,686.56,6866,250,3389,798040,24821,871,484,406,95.07,1995.98,98202,4433,69066,103495,940,60516,131249,16259,842.43,86527,96.21,52.92,41.45,99.08,NA,{}
2021-2022,Jan,9,Uttar Pradesh,2,Aligarh,1799958,211.9,38,445,1490.86,10443,204,17950,557764,2042,2078,385,477,86.52,1934.88,42773,113524,89404,71212,235,152080,150444,10789,1529.4,85505,78.26,50.71,53.82,92.56,NA,{}
2021-2022,Jan,9,Uttar Pradesh,3,Allahabad,1033772,214.03,44,436,1835.65,8939,351,3388,1016520,22267,1996,866,356,84.36,825.9,60748,62750,144602,18446,392,199339,110399,12390,1227.88,164591,14.59,62.55,39.23,95.3,NA,{}
2021-2022,Jan,9,Uttar Pradesh,4,Ambedkar Nagar,1535023,229.5,31,118,1052.46,9072,426,14295,604521,47126,3738,325,250,421.92,1499.17,60126,51524,88065,184645,683,82398,175849,4452,990.66,165969,10.38,82.38,81.66,97.94,NA,{}
2021-2022,Jan,9,Uttar Pradesh,5,Amethi,1509308,238.3,48,348,1250.08,12139,140,1377,1625954,44604,129,1902,322,289.08,1761.58,13418,21508,83219,197079,954,156073,154797,13343,726.33,192664,16.46,72.0,99.72,91.78,NA,{}
2021-2022,Jan,9,Uttar Pradesh,6,Amroha,1870475,225.92,43,171,911.77,14307,123,11423,1230575,2099,4401,624,40,239.81,2807.58,14324,9375,100679,145610,394,59856,64712,11009,930.21,41856,81.49,55.87,44.08,95.37,NA,{}
2021-2022,Jan,9,Uttar Pradesh,7,Auraiya,2068400,210.79,30,76,651.26,14538,67,6697,934420,43910,733,313,211,188.1,1149.03,57032,127147,53773,110972,948,123905,136788,7758,1204.31,11040,86.35,30.22,46.08,95.45,NA,{}
2021-2022,Jan,9,Uttar Pradesh,8,Ayodhya,1122764,246.18,38,293,400.19,2342,217,4765,1425787,35007,4618,970,208,55.69,2700.72,10427,66065,139170,114776,437,78064,67613,10460,1070.34,172885,86.12,34.7,77.96,94.72,NA,{}
2021-2022,Jan,9,Uttar Pradesh,9,Azamgarh,1285567,209.07,41,11,1432.48,5237,275,1852,1142211,12259,201,699,88,483.67,2449.29,44534,32308,122190,45252,272,189678,129598,2632,1673.89,178353,47.08,50.65,36.4,91.87,NA,{}
2021-2022,Jan,9,Uttar Pradesh,10,Baghpat,2453875,208.02,41,336,1876.71,3134,102,5679,833855,1377,853,594,54,268.88,1489.41,17112,34202,109136,193613,439,91316,118225,3819,841.9,25445,62.91,55.0,71.23,97.04,NA,{}
2021-2022,Jan,9,Uttar Pradesh,11,Bahraich,1942624,231.02,34,479,523.98,11336,410,19115,2135850,10150,153,1413,33,255.91,1270.09,6112,40421,102386,143743,133,101136,116180,17301,1047.14,51745,5.73,7.29,62.82,97.05,NA,{}
2021-2022,Jan,9,Uttar Pradesh,12,Ballia,2139928,205.26,40,383,207.7,4106,81,8837,90282,41056,124,567,202,448.57,2474.09,81147,78673,123897,192559,707,159196,171592,16570,1275.5,4336,73.05,77.11,56.44,91.98,NA,{}
2021-2022,Jan,9,Uttar Pradesh,13,Balrampur,1850653,249.2,30,161,1459.64,1231,362,12176,950955,44247,3125,440,146,431.72,1518.28,61532,113127,89743,135464,772,28596,90873,14835,1665.15,138017,51.15,17.88,82.46,95.32,NA,{}
2021-2022,Jan,9,Uttar Pradesh,14,Banda,1200384,211.43,42,159,1896.46,8897,262,12155,381762,33890,3563,1562,288,208.35,514.48,9553,12877,130080,85251,95,177383,18103,920,550.56,85635,9.44,44.39,9.51,93.28,NA,{}
2021-2022,Jan,9,Uttar Pradesh,15,Barabanki,1894577,243.33,42,541,304.72,12497,493,5511,2383045,40674,3454,1175,37,308.08,2534.46,89461,123540,123385,93022,223,95430,71505,12104,615.65,96746,3.46,10.96,95.17,92.93,NA,{}
2021-2022,Jan,9,Uttar Pradesh,16,Bareilly,1284039,214.79,32,128,1905.47,14181,451,16709,881362,12966,4552,1416,172,258.44,1098.11,38073,44182,34783,96308,723,162988,138710,6034,1330.89,77088,99.11,10.78,13.01,93.25,NA,{}
2021-2022,Jan,9,Uttar Pradesh,17,Basti,886479,229.61,47,382,1672.95,13576,136,13723,1426199,5279,3830,367,126,408.48,2702.63,88855,3953,23003,137721,314,24364,105763,15198,1089.35,73918,85.46,52.35,21.64,94.69,NA,{}
2021-2022,Jan,9,Uttar Pradesh,18,Bhadohi,2394786,215.94,36,134,1447.94,6346,153,4777,1729911,10492,4717,530,398,133.94,757.89,85760,132712,62851,135027,993,154142,87250,2574,1420.41,75086,78.04,50.67,77.89,98.49,NA,{}
2021-2022,Jan,9,Uttar Pradesh,19,Bijnor,1739241,245.17,44,599,1554.66,2906,318,8800,896387,2994,951,527,247,224.26,2955.45,82159,106439,41973,22858,624,126694,122996,12353,505.99,171342,95.36,27.63,17.09,97.68,NA,{}
2021-2022,Jan,9,Uttar Pradesh,20,Budaun,839671,234.68,50,38,673.74,7246,58,13619,2117603,42630,4697,771,73,321.24,994.15,38805,22279,65650,25412,974,193655,49643,15044,1497.89,115598,52.32,56.39,49.17,95.1,NA,{}
2021-2022,Jan,9,Uttar Pradesh,21,Bulandshahr,1320697,206.76,30,276,1319.98,13438,383,18306,1051380,5113,3092,1387,490,441.88,843.73,17355,86804,141754,59250,70,32615,197949,3601,1208.85,132333,59.99,93.07,87.48,96.68,NA,{}
2021-2022,Jan,9,Uttar Pradesh,22,Chandauli,2269378,248.47,49,201,1731.58,7762,198,5421,680789,10625,2339,140,160,326.07,1372.83,26939,81923,37278,52609,691,148698,41210,8084,1194.29,59603,37.29,96.42,84.26,98.68,NA,{}
2021-2022,Jan,9,Uttar Pradesh,23,Chitrakoot,991533,236.97,49,80,436.88,14680,80,12857,2303811,44506,4358,301,34,228.2,1166.41,25395,145461,130595,199317,50,144462,136286,14062,622.27,68604,63.15,26.56,58.74,98.56,NA,{}
2021-2022,Jan,9,Uttar Pradesh,24,Deoria,1040580,229.76,46,570,1628.29,14522,397,16860,1937233,49506,3183,1415,146,388.62,1281.72,32419,1619,57619,67487,713,139547,171659,7570,1155.75,160054,83.99,65.78,54.58,93.22,NA,{}
2021-2022,Jan,9,Uttar Pradesh,25,Etah,739847,205.23,34,104,425.3,941,420,4274,1881179,1493,308,1417,417,371.27,1780.57,73151,138027,59046,172738,249,168285,101881,16992,896.25,118919,50.96,62.92,26.72,90.62,NA,{}
2021-2022,Jan,9,Uttar Pradesh,26,Etawah,802180,241.42,34,556,937.32,4695,429,7749,655400,30403,422,1627,169,273.0,2092.23,77996,67401,121898,179905,0,138664,10757,11809,1499.96,145270,56.16,82.49,64.8,92.69,NA,{}
2021-2022,Jan,9,Uttar Pradesh,27,Farrukhabad,787556,203.69,47,576,592.06,9452,288,13137,184209,5529,301,1105,232,347.87,2684.85,35145,13581,18273,106513,223,43964,115860,18233,1087.29,85469,0.9,47.46,67.27,99.63,NA,{}
2021-2022,Jan,9,Uttar Pradesh,28,Fatehpur,425698,246.05,31,459,1470.93,12790,69,13397,1470197,22106,4126,177,255,208.9,2723.81,71387,51765,107469,114061,242,88386,31073,3450,1388.67,101659,41.47,78.43,0.38,95.46,NA,{}
2021-2022,Jan,9,Uttar Pradesh,29,Firozabad,1141470,218.85,50,371,1695.08,10242,28,17526,2295589,18098,2474,496,387,291.94,2472.32,77308,92048,55114,192089,518,133460,106545,6934,530.43,85026,44.5,66.03,76.19,97.96,NA,{}
2021-2022,Jan,9,Uttar Pradesh,30,Gautam Buddha Nagar,1675059,206.64,38,494,1771.83,1571,365,11002,1981964,35828,4482,1303,121,425.97,2853.18,12328,14574,58177,108085,589,198527,177230,4273,797.36,197255,34.58,44.4,89.82,98.55,NA,{}
2021-2022,Jan,9,Uttar Pradesh,31,Ghaziabad,2121623,226.9,45,26,686.15,14093,452,18190,715572,47239,3844,1895,97,85.18,2956.75,84062,111843,83839,25769,224,198882,72718,18390,874.43,127336,64.65,97.53,85.63,99.22,NA,{}
2021-2022,Jan,9,Uttar Pradesh,32,Ghazipur,1159771,210.83,42,78,162.16,5041,481,11382,330231,14564,1045,1132,211,354.85,591.07,31852,78443,84476,11714,234,124964,45773,17647,714.05,116918,77.28,13.7,40.86,95.0,NA,{}
2021-2022,Jan,9,Uttar Pradesh,33,Gonda,2339361,243.42,40,550,1674.23,7384,80,7499,2352608,8192,4724,1600,274,345.46,924.51,42264,33171,127737,81151,624,113360,175853,15170,999.84,81677,29.46,46.76,20.07,91.07,NA,{}
2021-2022,Jan,9,Uttar Pradesh,34,Gorakhpur,1263650,244.31,48,5,205.72,11863,361,9072,1323694,30717,4755,936,52,63.09,1393.8,91299,66055,109348,65909,191,114560,20307,14094,1672.45,65540,67.07,58.2,1.01,99.49,NA,{}
2021-2022,Jan,9,Uttar Pradesh,35,Hamirpur,1359880,213.96,49,237,126.28,10564,485,7761,644316,23000,3069,1038,441,284.44,1277.85,48069,68618,37131,97283,690,107908,113251,19899,1476.46,189932,83.97,45.99,38.78,99.88,NA,{}
2021-2022,Jan,9,Uttar Pradesh,36,Hapur,1196346,203.84,37,398,1405.37,13452,2,4609,1367098,7767,2223,1283,266,311.11,777.34,43221,122546,103318,94798,587,20254,117562,544,1026.52,120900,68.32,37.68,52.78,91.44,NA,{}
